All Metabolites,Traduccion,Primary Metabolites,Description Primary Metabolites,Secondary Metabolites,Description Secondary Metabolites,Saturated,Insaturated,Acids,Bases,Alcohols,Aminoderivatives,Amides,Aldehydes,Carbohydrates,Amino acids,Alkaloids
2-Hydroxypyridine,2-Hydroxypyridine,"13-Octadecenoic acid, (E)-","(E)-13-octadecenoic acid, also known as elaidic acid, is a monounsaturated fatty acid that is distinguished by having a trans configuration in one of its double bonds. This structural detail influences its physical and biological properties, such as the flexibility of cell membranes, which is vital to keep cells functioning properly. It also plays an important role in the regulation of inflammatory and metabolic processes, contributing to several essential physiological responses.

In plants, (E)-13-octadecenoic acid is a crucial component of cell walls, helping to structure and protect plant cells. In the human diet, it is found in several vegetable oils and its presence is significant due to its impact on cardiovascular and general health. Despite being a trans fatty acid, this fatty acid occurs naturally and differs from industrially produced trans fatty acids, which are associated with negative health effects.
",4-hydroxybenzaldehyde,"It is the precursor of 4-coumaric acid. It is produced by the union or condensation of an aldehyde-type molecule with a low molecular weight ester such as mevalonate. It is a very versatile compound, it is used as a building block to produce essential oils, flavonoids, lignans. Previous literature reports that molecules derived from 4-hydroxybenzaldehyde had a tyrosinase inhibitory effect. Tyrosinase is a multifunctional metalloenzyme that can catalyze the oxidation of monophenols, o-diphenols, and o-quinones. This enzyme is widely distributed in bacteria, fungi, plants and animals, where it is involved in the formation of melanin pigments.",Methyl Palmitate,2-hexenoic acid,2-hexenoic acid,2-Hydroxypyridine,1-hexadecanol,2-Aminobutanoic acid,2-Hydroxypyridine,4-hydroxybenzaldehyde,D-Fructose,DL-Ornithine,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid-(benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-"
Lactic Acid,Lactic Acid,1-hexadecanol,"1-Hexedecanol, also known as cetyl alcohol or palmitic alcohol, is a fatty alcohol with a chain of 16 carbon atoms. This compound plays a key role in the structure and function of cell membranes in plants, helping to maintain their integrity and flexibility. It is found in plant cell walls, where it helps to protect and stabilize cells against various environmental factors.

In the cosmetics industry, 1-Hexedecanol is highly valued for its emollient properties, making it a frequent component in products such as creams, lotions and shampoos. It helps soften and protect the skin, keeping it moisturized. In addition, due to its ability to stabilize emulsions, it facilitates the mixing of oily and watery ingredients, improving the texture and consistency of products. This fatty alcohol is also used in the manufacture of lubricants and as a precursor in the synthesis of other chemical compounds used in various industrial applications.
",3-0-Coumaroyl-D-quinic acid,"It belongs to a group of compounds that are present in the cell walls of plants, they come from the combination of two different compounds, namely p-caoumaric acid and quinic acid. P-Coumaric acid belongs to a family of molecules derived from cinnamic acid, very common in butters such as shea butter. They are waxy in nature and fulfill the role of waterproofing fruits, leaves and flowers. They also have antioxidant power, preventing the deterioration of plant structures when exposed to environmental conditions. Quinic acid is a metabolite called polyol, because it has several alcohol groups in its structure, being similar to a glyciode, such as glucose or fructose. But unlike these, it does not have a metabolic role in the breakdown of glucose to produce energy. Instead, it serves as a support for lipid molecules in cell membranes. Quinic acid is a byproduct of the metabolic pathway that plants use to produce amino acids, the shichimic acid pathway. Amino acids, in turn, are necessary to build proteins and other fundamental structures for plant life.",1-Monopalmitin,"Oleic, (E)-","2,3-Dihydroxybutanoic acid","8-Azabicyclo[3.2.1]octane-2-carboxylic acid-(benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",Phytosphingosine1,4-Aminobutanoic acid,"9-Octadecenamide, (Z)-",,D-(+)-Glucosamine,Homoserine,Benzoylecgonine
Oxalic acid,Oxalic acid,1-Monopalmitin,"Palmitic acid, also known as 1-monopalmitin acid or palmitate, is a saturated fatty acid found widely in both the animal and plant kingdoms. With a chain of 16 carbon atoms,with molecular formular CH6(CH₂)₁₅COOH, this fatty acid is one of the most prevalent in animal fats and vegetable oils such as palm and coconut oil.

In the human body, palmitic acid plays vital roles, being a crucial component of cell membranes where it contributes to their structural integrity and functionality. In addition, it is involved in important metabolic processes including energy production and cell signaling, which are essential for maintaining health. However, its consumption should be moderate as studies have linked high levels of saturated fats, such as palmitic acid, to an increased risk of cardiovascular disease and other health problems. Therefore, it is advisable to balance the diet with a variety of fats, prioritizing those with the most beneficial properties for health.",5-0-Coumaroyl-D-quinic acid,It is the condensed analogue of coumaric acid with quinic acid in the oxygenated position number 5. It is important in the formation of woody lignan structures.,Citramalic acid,alpha-Linolenic acid,"2-Butenedioic acid, (E)-",Adenine,Galactinol,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid-(benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",Niacin,,D-(+)-melezitose,L-Alanine,Phenethylamine 
Hydroxylamine,Hydroxylamine,1-Octacosanol,"1-octacosanol is a fatty alcohol with an extended chain of 28 carbon atoms, with molecular formyl CH28H58O, found mainly in the waxes that coat the outer surfaces of plants. This component is crucial, as it forms a protective barrier that helps plants conserve water and provides defense against climatic extremes and environmental pollutants. It is commonly found in the leaves of eucalyptus trees, in legumes such as acacia and clover, in grasses and cereals, where it is often the main constituent of their waxes. Wheat germ is also a significant source of this compound, known for its high concentration of nutrients.

In addition to its role in the plant kingdom, 1-octacosanol has been studied for its potential benefits to human health, including improving physical performance and lowering cholesterol. These studies have prompted its use in dietary supplements and natural health products, especially valued by those seeking natural alternatives to strengthen physical endurance and improve cardiovascular health.",abietic acid,It is one of the main components of the resins found in trees; it has an irritating effect that protects plants from ruminants. It has an inhibitory effect on testosterone production with a potential effect on the progression of prostate cancer.,2-Hydroxybutyric acid,HeptadecanoicAcid,2-Aminobutanoic acid,Ethanolamine,1-Octacosanol,D-(+)-Glucosamine ,Niacinamide,,D-Allose,Asparagine,Cocaine
Benzoic Acid,Benzoic Acid,2-hexenoic acid,"2-hexenoic acid is an unsaturated fatty acid with a characteristic double bond between carbons 2 and 3 of its six carbon atom chain. Its molecular formula is C6H8O2.

Naturally, this fatty acid is found in grapes, where it plays a crucial role in defining the aroma and flavor profiles of the fruit, significantly influencing the organoleptic characteristics of the wine. In industry, 2-hexenoic acid is valued for its use in the synthesis of aromas and fragrances, where it contributes to the creation of specific flavors and odors that enrich food and cosmetic products. In addition, due to its origin in renewable resources and its biodegradable potential, this acid is being explored in the development of biodegradable plastics and other sustainable materials, highlighting its versatility and importance in the move towards more environmentally friendly practices.",Caffeic acid,"Caffeic acid is the largest representative of a group of metabolites called cinnamic acids, it is a precursor in the synthesis of lignin, which is one of the components that give hardness and thickness to the woody parts of plants.  It has antioxidant properties, and some molecules such as CAPE (caffeic acid phenyl ester) have been found to have antifungal, antitumor and antiviral activity.",2-Propenoic acid,Octanoic acid,2-Hydroxybutyric acid,Phenethylamine,alphatocopherol,Ethanolamine,Oleamide,,D-Gluconic acid,L-Glutamic acid,Ecgonine ethyl ester
Glycerol,Glycerol,2-Hydroxypyridine,"Glycerol, also known as glycerin, is an organic compound derived primarily from triglycerides, which are the fats and oils common in many foods and in the human body. This viscous, sweet liquid is also produced as a by-product in soap manufacturing and by fermentation of sugars. Because of its ability to absorb water from the environment (hygroscopic property), glycerol is widely valued in various industries.

In the plant world, glycerol plays a role in osmotic regulation, helping plants manage drought and salinity stress by adjusting the amount of water within their cells. In industrial and commercial applications, it is used as a solvent and humectant in pharmaceuticals and cosmetics, providing smoothness and lubrication, and as a sweetener in foods and beverages. Its versatility also extends to use in the production of nitroglycerin, which is a key component in the manufacture of explosives, and in medicine as a treatment for heart disease.",cinnamic acid,"Cinnamic acid is an unsaturated carboxylic acid, found in large quantities in cinnamon. It is a main intermediate in the synthesis of lignan, providing the hardness of the stems and physical protection. It is also a precursor for the production of flavonoids, stilbenes, and coumarins. It is a versatile compound for the production of many types of natural products.",Butanoic acid,"13-Octadecenoic acid, (E)-",2-Keto-l-gluconic acid,Phytosphingosine1,Gallic acid,Hydroxylamine,Phytosphingosine1,,d-Glucose,L-Aspartic acid,Mimosine I
D-Gluconic acid,D-Gluconic acid,2-Propenoic acid,"2-propenoic acid, known in industry and chemistry as acrylic acid, is an organic acid characterized by being colorless and having a strong, pungent odor. This acid is the simplest of the unsaturated carboxylic acids, meaning that it contains a double bond in its molecular structure, which affects its properties and reactivity.",Chlorogenic acid,"Chlorogenic acid is made up of caffeic acid and quinic acid. It occurs as a plant response to environmental stress, making it difficult for fungi and bacteria to enter when lacerations occur on leaves and flowers. Consumption of chlorogenic acid in the diet has been shown to help regulate sugar absorption, helping to prevent diabetes. It has effects on cardiac vasoreaction, reducing the risk of heart disease.",,,2-Propenoic acid,"Pyrrolidine, 2-butyl-1-methyl-",gluconic acid lactonel,L-5-Oxoproline,"N-Methyl-L-proline, pentyl ester",,D-Mannitol,L-Isoleucine,trans-Cinnamoylcocaine
Niacin,Niacin,3-Hydroxybenzoic acid,"3-Hydroxybenzoic acid is an aromatic organic acid that is notable in chemistry for its structure that includes a benzene ring with an attached hydroxyl group. This configuration gives it unique characteristics such as enhanced solubility and chemical reactivity, making it valuable in a variety of industrial and biological applications.

In the perfumery industry, this acid is prized as a fixative, an essential function in prolonging the duration of scents in perfumes on the skin. Its ability to retain fragrances enhances the persistence of the perfume, thus improving the consumer's sensory experience. Additionally, in biology, 3-hydroxybenzoic acid is involved in multiple metabolic pathways, participating in the synthesis and modification of several key metabolites. This versatility underscores its importance in both practical applications and fundamental biological processes.",Ferulic acid,"Ferulic acid is a hydroxycinnamic acid, it is found in the cell walls of plants, acting as enclaves between cellulose and hemicellulose with the lignan-type structures that give it support and woody thickness in plants.",Docosane,,3-0-Coumaroyl-D-quinic acid,Tris(trimethylsilyl)carbamate,Glyceric acid,N-Methyl-L-proline,,,Ethyl .alpha.-D-glucopyranoside,L-Leucine,Trigonelline
Pentadecane,Pentadecane,4-hydroxybenzoic acid,"Acrylic acid is widely used in the manufacture of plastics, paints, adhesives and other polymeric products through a process of polymerization, where acid molecules join together to form long chains. This makes it an essential component in the production of acrylic resins and polyacrylates, which are materials valued for their water resistance and durability. In addition to its industrial use, acrylic acid is also explored in medical and sanitary applications, such as in the manufacture of absorbents in diapers and other hygiene products due to its ability to form gels that retain liquids.",4-Coumaric acid,"It is a cinnamic acid, essential for the production of protective waxes on the exposed surfaces of plants. It is commonly found as a precursor to many lignan-type compounds, which are found in the woody mass of many plants.",Dotriacontane,,3-Hydroxybenzoic acid,,Glycerol,Phenethylamine,,,Galactaric Acid,L-Lysine,Tropine
L-5-Oxoproline,L-5-Oxoproline,4-Hydroxycinnamic acid,"Cinnamic acid is an unsaturated carboxylic acid found mainly in cinnamon bark, but is also present in other plants. This compound plays a crucial role in the biosynthesis of several important secondary metabolites, including lignans, flavonoids, stilbenes and coumarins. Lignans contribute to the hardness and structural strength of plant stems, providing essential physical protection, while flavonoids and stilbenes play important roles in defense against pathogens and in growth regulation.
",4-0-Coumaroyl-D-quinic acid,"It is a molecule analogous to coumaroyl 3-O-D-quinic acid. Since quinic acid has 4 alcohol groups in its cyclic structure, it can be condensed or bound by any of these oxygens. The oxygens that can condense are 3-O, 4-O and 5-O.",Eicosane,,4-0-Coumaroyl-D-quinic acid,,1-Monopalmitin,Pipecolic acid,,,Galactinol,L-Norleucine,Ecgonine methyl ester
